keys,ru,en
VICTORY_P1,Вельд пересчитывает деньги. И ещё раз. И ещё раз. По глазам видно — в безбедную старость он не верил. С еле скрываемой радостью старик передаёт тебе ключ и купчую на лавку.,"Veld counts the money. Then again. Then once more. You can see it in his eyes — he never believed he would have an easy old age. Barely hiding his delight, the old man hands you the key and the deed to the shop."
VICTORY_P2,"— Ну что же, Бракк, заведение теперь твоё. Даю тебе моё стариковское благословение и полное право переделать тут всё, что захочешь.","— Well then, Brakk, the place is yours now. You have an old man's blessing and full leave to make over anything you find here."
VICTORY_P3,Переделывать тут явно есть что. О состоянии здания старик беспокоился не сильно — а здание ещё старше него самого. Готов к новому приключению?,There is plainly a great deal to make over. The old man never worried much about the state of the building — and the building is older than he is. Ready for a new adventure?
VICTORY_CONTINUE,Открыть лавку,Open the shop
UPGRADE_SHOP_DEED,Лавка наставника,The mentor's shop
UPGRADE_SHOP_DEED_HINT,Вельд отдаёт дело целиком и забирает всё накопленное до последней монеты.,Veld hands over the whole business and takes every coin you saved.
UPGRADE_BUY,Купить · %d,Buy · %d
UPGRADE_OWNED,Куплено,Owned
UPGRADE_SHORT,Не хватает %d,Short by %d
SHOP_TAB_GOODS,Товар,Goods
SHOP_TAB_UPGRADES,Прокачки,Upgrades
SHOP_HANDOUT,Ящик от Вельда,A crate from Veld
SHOP_HANDOUT_HINT,"Старик собрал, что нашлось на задах склада. Бери, когда совсем пусто.",The old man scraped together whatever was at the back of the store. Take it when you have nothing.
SHOP_HANDOUT_TAKE,Взять,Take it
SHOP_HEADER,ЗАКУП · день %d · деньги %d,MARKET · day %d · money %d
SHOP_HEADER_GOAL,ЗАКУП · день %d · деньги %d · до лавки %d,MARKET · day %d · money %d · shop in %d
UPGRADE_LEVEL,%s · ур. %d/%d,%s · lv %d/%d
UPGRADE_MAXED,Предел,Maxed out
UPGRADE_SHELVES,Полки в лавке,Shop shelves
UPGRADE_SHELVES_HINT,Ещё один ярус стеллажа: за раз влезает больше товара.,One more shelf tier: more goods fit into a single run.
UPGRADE_BED_WALLS,Борта кузова,Cargo bed walls
UPGRADE_BED_WALLS_HINT,Доски выше — товар реже вылетает за борт на кочках.,Taller boards: fewer goods bounce out over the bumps.
UPGRADE_PADDING,Обивка кузова,Bed padding
UPGRADE_PADDING_HINT,Войлок и солома под грузом: удар держится дольше.,Felt and straw under the load: goods take a harder knock.
UPGRADE_WHEELS,Колёса,Wheels
UPGRADE_WHEELS_HINT,Колёса больше: рябь не цепляет обод — но в гору тянет хуже.,Bigger wheels: ripples stop catching the rim — but worse uphill pull.
UPGRADE_ENGINE,Мотор,Engine
UPGRADE_ENGINE_HINT,Больше момента: подъёмы берутся внатяг.,More torque: climbs go through under load.
MENU_TITLE,Хрупкое: содержит магию,Fragile: Contains Magic
MENU_NEW_GAME,Новая игра,New game
MENU_LANG_EN,English,English
MENU_LANG_RU,Русский,Русский
MENU_MUSIC,Музыка,Music
MENU_SFX,Звуки,Sound effects
MENU_SOUND,Звук,Sound
MENU_QUIT,Выход,Quit
PAUSE_TITLE,Пауза,Paused
PAUSE_RESUME,Продолжить,Resume
PAUSE_EXIT,В главное меню,Main menu
PAUSE_EXIT_CONFIRM,Точно? Партия пропадёт,Sure? The run is lost
MENU_CONTINUE,Продолжить партию,Continue
MENU_CONTINUE_FAILED,Сохранение повреждено,Save file is damaged
MENU_NEW_GAME_CONFIRM,Точно? Сохранение сотрётся,Sure? The save is erased
SHOP_LOT_STATS,Продажа: %d   •   прочность: %s   •   вес: %s%s,Sells for %d   •   sturdiness: %s   •   weight: %s%s
SHOP_LOT_STOCK,   •   на складе: %d,   •   in stock: %d
SHOP_LOT_NO_ROOM,Нет места,No room
SHOP_LOT_BUY,Купить · %d,Buy · %d
TOUGHNESS_VERY_LOW,очень низкая,very low
TOUGHNESS_LOW,низкая,low
TOUGHNESS_HIGH,высокая,high
TOUGHNESS_VERY_HIGH,очень высокая,very high
SHOP_FOOTER,Полки: %d / %d   •   %s,Shelves: %d / %d   •   %s
SHOP_FOOTER_EMPTY,Полки: %d / %d   •   склад пуст,Shelves: %d / %d   •   store is empty
SHOP_STOCK_ITEM,%s × %d,%s × %d
SHOP_STOCK_FRAGMENTS,осколки × %d,shards × %d
SHOP_DEPART,В дорогу,Set off
DRIVE_HINT_DRAG,Тащи мышью · Q/E или стрелки — поворот,Drag with the mouse · Q/E or arrow keys to turn
DRIVE_HINT_STRAY,Убери с земли: %d,Left on the ground: %d
DRIVE_STATUS_LOADING,День %d · Погрузка,Day %d · Loading
DRIVE_STATUS_COUNT,В кузове: %d · На стеллаже: %d,In the bed: %d · On the shelf: %d
DRIVE_START,Поехали,Drive
DRIVE_STATUS_DRIVING,День %d · Цело: %d из %d · Пройдено: %d%%,Day %d · Intact: %d of %d · Covered: %d%%
DRIVE_TIME,Время: %d с,Time: %d s
DRIVE_TIME_LATE,Время: %d с · оплата %d%%,Time: %d s · payout %d%%
DRIVE_RESTART,Сброс (R),Restart (R)
DRIVE_FINISH_TITLE,ФИНИШ,FINISH
DRIVE_FINISH_DELIVERED,Доехало целыми: %d,Arrived intact: %d
DRIVE_FINISH_DAMAGED,Повреждено: %d,Damaged: %d
DRIVE_FINISH_LOST,Потеряно: %d,Lost: %d
DRIVE_TO_SHOP,В лавку,To the shop
DRIVE_CONTROLS,W/S — вперёд и назад   ·   A/D — качнуть корпус в воздухе,W/S — forward and back   ·   A/D — swing the body in mid-air
